abbreviation	keggId	pubChemId	cheBlId	hmdb
3hmp	C06001	440873	37373	HMDB0000023
hLkynr	C02794	89	1547	HMDB0000732
42A3HP24DB	C05645	440741		HMDB0004083
dopa	C03758	681	18243	HMDB0000073
3hpcoa	C05668	440753	27762	HMDB0006807
3hpp	C01013	68152	33404	HMDB0000700
msa	C00222	868	17960	HMDB0011111
3hxkynam	C05636	440736		
48dhoxquin		0	28883	HMDB0060289
3mox4hpac	C05581	151276	28111	HMDB0005175
3mlda	C05828	75810		HMDB0002820
3mob	C00141	49	16530	HMDB0000019
3mop	C03465	47	35932	HMDB0000491
3m4hpga	C05583	440729		HMDB0004061
3mox4hoxm	C05584	736172	1127735	HMDB0000291
3moxtyr	C05587	1669	742324	HMDB0000022
3amp				
adn	C00212	60961	16335	HMDB0000050
3sala	C00606	439270	41721	HMDB0000996
asp_L	C00049	5960	17053	HMDB0000191
hyptaur	C00519	107812	16668	HMDB0000965
3snpyr	C05527	6398963		HMDB0001405
so3	C00094	1099	17359	HMDB0000240
adrnl	C00788	5816	28918	HMDB0000068
mma	C00218	6329	16830	HMDB0000164
nrpphr	C00547	439260	18357	HMDB0000216
4abut	C00334	119	16865	HMDB0000112
coucoa	C00223	147899	15499	
4hbzcoa	C02949	0		HMDB0006467
accoa	C00024	444493	15351	HMDB0001206
4hbz	C00156	135	30763	HMDB0000500
4hdebrisoquine		107669	63800	HMDB0006468
4hglusa	C05938	440851	27809	HMDB0006556
e4hglu	C05947	440854		
4hoxpacd	C03765	440113	15621	HMDB0003767
4hphac	C00642	127	18101	HMDB0000020
4mop	C00233	70	48430	HMDB0000695
4mptnl	C02373	129	17998	HMDB0001318
4mtolbutamide		3656	63799	HMDB0006408
4nphsf		80349	35422	HMDB0006492
4nph	C00870	980	16836	HMDB0001232
4pyrdx	C00847	6723	17405	HMDB0000017
5adtststeroneglc		44263365	89417	HMDB0006203
5adtststerones		18665256	138026	HMDB0006278
5adtststerone	C03917	10635	16330	HMDB0002961
5aop	C00430	137	17549	HMDB0001149
5dhf		73374		
5fthf	C03479	143	209153	HMDB0001562
5htrp	C01017	144	28171	HMDB0000472
srtn	C00780	5202	28790	HMDB0000259
5homeprazole				
5hoxindact	C05634	74688	50157	HMDB0004073
5hoxindoa	C05635	1826	27823	HMDB0000763
5hoxnfkyn	C05648	440744	2065	HMDB0004086
5hxkyn	C05651	440745	2076	HMDB0012819
5hxkynam	C05638	164719	28715	HMDB0004076
46dhoxquin	C05639	440738	28799	HMDB0004077
5mthf	C00440	439234	15641	HMDB0001396
5thf				
6dhf		169691		
6htststerone	C14497	65543	34477	HMDB0006259
6thf		169691		
7dhchsterol	C01164	439423	17759	HMDB0000032
7dhf		53477856	89846	HMDB0006559
7thf				
m2mn		53477854		HMDB0006537
man	C00159	18950	4208	HMDB0000169
mn		53477853		HMDB0006535
galgluside_hs				
udpgal	C00052	18068	67119	HMDB0000302
thcrm_hs	C04737	53477785		HMDB0004877
udp	C00015	6031	17659	HMDB0000295
T_antigen	C04750		16117	
uacgam	C00043	445675	16264	HMDB0000290
gncore1				
core2			15876	
gncore2				
acac	C00164	96	15344	HMDB0000060
aacoa	C00332	439214	15345	HMDB0001484
amp	C00020	6083	16027	HMDB0000045
ppi	C00013	644102	18361	HMDB0000250
aact	C01888	215	17906	HMDB0002134
mthgxl	C00546	880	17158	HMDB0001167
L2aadp6sa	C01475	207	17027	HMDB0001263
fucgalacglcgalgluside_hs				
udpacgal	C00203	1167		HMDB0000304
acgalfucgalacglcgalgluside_hs	G00042			
galfucgalacglcgalgluside_hs	C06130			
fuc12gal14acglcgalgluside_hs				
galfuc12gal14acglcgalgluside_hs				
acgalfuc12gal14acglcgalgluside_hs				
fucgalacgalfuc12gal14acglcgalgluside_hs	G00058			
acgalfucgalacgalfuc12gal14acglcgalgluside_hs	G00059			
fucgalacglcgal14acglcgalgluside_hs	G00071			
acgalfucgalacglcgal14acglcgalgluside_hs				
fucgalacgalfucgalacglcgal14acglcgalgluside_hs				
acgalfucgalacgalfucgalacglcgal14acglcgalgluside_hs	G00075			
galfucgalacglcgal14acglcgalgluside_hs				
fucfucgalacglcgalacglcgal14acglcgalgluside_hs				
galgalfucfucgalacglcgalacglcgal14acglcgalgluside_hs				
sucsal	C00232	1112	16265	HMDB0001259
abt	C00532	439255	18403	HMDB0001851
xylu_L	C00312	22253	17399	HMDB0000751
4abutn	C00555	118	17769	HMDB0001080
2maacoa	C03344	53	15476	HMDB0001157
ppcoa	C00100	439164	15539	HMDB0001275
3odcoa	C05265	440606	28528	HMDB0003939
occoa	C01944	380	15533	HMDB0001070
3oddcoa	C05263	440604	27868	HMDB0003937
dcacoa	C05274	440615	28493	HMDB0006404
3otdcoa	C05261	11966197	28726	HMDB0003935
ddcacoa	C01832	165436	15521	HMDB0003571
3ohdcoa	C05259	440601	15491	HMDB0006402
tdcoa	C02593	65113	15532	HMDB0001521
3ohodcoa	C16216	22833663		HMDB0006498
pmtcoa	C00154	15667	15525	HMDB0001338
3ohxccoa				
ttccoa	C16529 	53477849		HMDB0006526
acald	C00084	177	15343	HMDB0000990
malcoa	C00083	10663	15531	HMDB0001175
ppa	C00163	1032	30768	HMDB0000237
acetone	C00207	180	15347	HMDB0001659
acgagbside_hs				
acgal	C01074	84265	40356	HMDB0000212
acgal1p		22833661	55404	HMDB0006480
itp	C00081	8583	16039	HMDB0000189
idp	C00104	644173	17808	HMDB0003335
acgam	C00140	439174	506227	HMDB0000215
acmana	C00645	11096158	63154	HMDB0001129
gam6p	C00352	439217	15873	HMDB0001254
acgam6p	C00357	440996	15784	HMDB0001062
acgam1p	C04256	440272	7125	HMDB0001367
acgbgbside_hs	C05551	5904	18208	HMDB0015186
acgpail_hs	C01288	53481019	12194	HMDB0011669
ac	C00033	176	15366	HMDB0000042
gpail_hs	C04248		17049	
acglu	C00624	185	12575	HMDB0001138
ach	C01996	187	15355	HMDB0000895
chol	C00114	305	15354	HMDB0000097
cit	C00158	311	30769	HMDB0000094
oaa	C00036	970	30744	HMDB0000223
acn13acngalgbside_hs				
acn23acngalgbside_hs				
acnacngal14acglcgalgluside_hs	G00064			
acnacngalgbside_hs				
acmanap	C04257	440273	62165	HMDB0001121
pep	C00074	1005	44897	HMDB0000263
acnamp	C06241	440962	27438	HMDB0004381
man6p	C00275	439198	49728	HMDB0001078
kdnp				
acnam	C19910	445063	45744	HMDB0000230
acngalacglcgal14acglcgalgluside_hs	G00088			
2mbcoa	C01033	439371	15477	HMDB0001041
fad	C00016	643975	16238	HMDB0001248
2mb2coa	C03345	5280564	15478	HMDB0002054
fadh2	C01352	446013	17877	HMDB0001197
btcoa	C00136	265	57371	HMDB0001088
ivcoa	C02939	439855	15487	HMDB0001113
3mb2coa	C03069	439869	15486	HMDB0001493
ibcoa	C00630	3036931	15479	HMDB0001243
2mp2coa	C03460	440021	27754	HMDB0001011
hdd2coa	C05272	46173176	61526	HMDB0003945
ACP	C00229			
acACP	C03939			
acorn	C00437	439232	16543	HMDB0003357
orn	C00077	6262	15729	HMDB0000214
icit	C00311	1198	30887	HMDB0000193
dhcholoylcoa	C05447	5280796	27393	HMDB0006895
thcholoylcoa	C05448	15942872	15493	HMDB0002178
cholcoas	C17343	15942888	37643	
cholcoads	C05460	5280797	27505	HMDB0006889
fmn	C00061	643976	17621	HMDB0001520
ribflv	C00255	493570	17015	HMDB0000244
acrn	C02571	1		HMDB0000201
5moxact	C05660	18986	235589	HMDB0004096
Nacsertn	C00978	903	17697	HMDB0001238
melatn	C01598	896	16796	HMDB0001389
acetol	C05235	8299	27957	HMDB0006961
13dpg	C00236	683		HMDB0001270
3pg	C00197	439183	17794	HMDB0060180
ins	C00294	6021	17596	HMDB0000195
ade	C00147	190	16708	HMDB0000034
adhap_hs	C03372		15835	
gtp	C00044	6830	15996	HMDB0001273
gdp	C00035	8977	17552	HMDB0001201
damp	C00360	12599	17713	HMDB0000905
datp	C00131	15993	16284	HMDB0001532
dadp	C00206	53477733	16174	HMDB0001508
ametam	C01137	439415	15625	HMDB0000988
camp	C00575	6076	17489	HMDB0000058
adpglc	C00498	16500	15751	HMDB0006557
g1p	C00103	439165	16077	HMDB0001586
adpman	C06192	440940	28845	HMDB0006369
man1p	C00636	644175	35374	HMDB0006330
adprib	C00301	192	16960	HMDB0001178
r5p	C00117	439167	52742	HMDB0001548
prpp	C00119	7339	17111	HMDB0000280
adrncoa	C16170	23724647		HMDB0060208
crn	C00318	2724480	11060	HMDB0000062
adrncrn		53477825		
adrn	C16527	5497181	53487	HMDB0002226
adsel	C05686	440758	2485	HMDB0004112
3padsel	C05696	24892762	28450	HMDB0011104
aps	C00224	10238	17709	HMDB0001003
dcamp	C03794	440122	15919	HMDB0000536
fum	C00122	444972	18012	HMDB0000134
25aics	C04823	160666	18319	HMDB0000797
aicar	C04677	65110	18406	HMDB0001517
imp	C00130	8582	17202	HMDB0000175
aflatoxin	C06800	14403	2504	HMDB0006552
ksi_pre18				
ksi_pre19				
ksi_pre21				
ksi_pre22				
ksi_pre24				
ksi_pre25				
ksi_pre27				
ksi_pre28				
ksi_pre30				
ksi_pre31				
ksi_pre33				
ksi_pre34				
ksii_core4_pre2				
ksii_core4_pre3				
ksii_core4_pre4				
ksii_core4_pre5				
ksii_core4_pre7				
ksii_core4_pre8				
ksii_core2_pre2				
ksii_core2_pre3				
ksii_core2_pre4				
ksii_core2_pre5				
ksii_core2_pre7				
ksii_core2_pre8				
ksi_pre1				
ksi_pre2				
ksi_pre3				
ksi_pre4				
ksi_pre6				
ksi_pre7				
ksi_pre9				
ksi_pre10				
ksi_pre12				
ksi_pre13				
ksi_pre15				
ksi_pre16				
ak2g_hs	C03201		52595	
cdpchol	C00307	13804	16436	HMDB0001413
ak2gchol_hs	C05212		36702	
cmp	C00055	6131	17361	HMDB0000095
ak2gpe_hs	C04475			
dak2gpe_hs	C04756	52925046		HMDB0011158
cdpea	C00570	123727	16732	HMDB0001564
ak2gp_hs	C05977			
akdhap_hs				
akgp_hs	C03715		17197	
Rtotal2				
agm	C00179	199	17431	HMDB0001432
ptrc	C00134	1045	17148	HMDB0001414
urea	C00086	1176	16199	HMDB0000294
Rtotal2coa				
alpa_hs				
pa_hs				
acg5p	C04133	440236	16878	HMDB0006456
acg5sa	C01250	192878	16319	HMDB0006488
alkylR1oh				
Rtotal				
ala_L	C00041	5950	16977	HMDB0000161
glx	C00048	760	16891	HMDB0000119
gly	C00037	750	15428	HMDB0000123
ahandrostanglc	C11136	443078	37451	HMDB0004484
hcys_L	C00155	778	17230	HMDB0000742
n2m2nmn				
n2m2mn				
fprica	C04734	166760	18381	HMDB0001439
thf	C00101	91443	20506	HMDB0001846
air	C03373	161500	28843	HMDB0001235
5aizc	C04751	165388	28413	HMDB0006273
ak2lgchol_hs	C04317	2733532	560225	HMDB0011149
succoa	C00091	439161	15380	HMDB0001022
mal_L	C00149	222656	30797	HMDB0000156
prgstrn	C00410	5994	17026	HMDB0001830
aprgstrn	C04042	92747	36729	HMDB0003069
xol7ah	C05451	53477905	2290	HMDB0006892
xol7ah2	C05452	3080603	28047	HMDB0006893
xoldioloneh	C05453	53477903	2288	HMDB0006887
xoltriol	C05454	160520	16496	HMDB0001457
xol7aone	C05455	123743	17899	HMDB0001993
xoldiolone	C05457	21252277	28477	HMDB0002197
asn_L	C00152	6267	17196	HMDB0000168
cys_L	C00097	5862	17561	HMDB0000574
ala_D	C00133	71080	15570	HMDB0001310
gln_L	C00064	5961	18050	HMDB0000641
ser_L	C00065	5951	17115	HMDB0000187
thr_L	C00188	6288	16857	HMDB0000167
meoh	C00132	887	17790	HMDB0001875
fald	C00067	712	16842	HMDB0001426
12ppd_R	C00583	1030	16997	HMDB0001881
lald_D	C00937	439350	17167	HMDB0006458
12ppd_S	C02917	439846	29002	HMDB0006213
lald_L	C00424	439231	18041	HMDB0003052
etoh	C00469	702	16236	HMDB0000108
id3acald	C00637	800	18086	HMDB0001190
ind3ac	C00954	802	16411	HMDB0000197
pristanal		14671060		
prist		123929	51340	HMDB0000795
aldstrn	C01780	24758425	27584	HMDB0000037
dhap	C00111	668	16108	HMDB0001473
dha	C00184	670	16016	HMDB0001882
arachd	C00219	444899	15843	HMDB0001043
12HPET	C05965	5280892	15626	HMDB0004243
12RHPET				HMDB06222
15HPET		5280893		
5HPET	C05356	5280778	15632	HMDB0001193
leuktrA4	C00909	5280383	15651	HMDB0001337
dhcholestancoa	C04644	440420	15494	HMDB0002159
cholcoar	C15613	15942889	37642	HMDB0060305
amuco	C02220	5280499	15745	HMDB0001241
cgly	C01419	439498	4047	HMDB0000078
strch1				
glc_D	C00031	5793	4167	HMDB0000122
strch2				
glygn2				
glygn4				
andrstrnglc	C11135	114833	28832	HMDB0002829
andrstrn	C00523	12306765	16032	HMDB0000031
antipyrene	C13244	2206	31225	HMDB0015503
2aobut	C03508	440033	40673	HMDB0006454
ap4a	C01260	21706	17422	HMDB0001211
ala_B	C00099	239	16958	HMDB0000056
apnnox	C02759	91508	29060	HMDB0003667
apoC				
lys_L	C00047	5962	18019	HMDB0000182
apoC_Lys				
apoC_Lys_btn	C06250			
biocyt	C05552	83814	27870	HMDB0003134
appnn	C09880	6654	36740	HMDB0006525
aprut	C02714	122356	17768	HMDB0002064
n4abutn	C05936	440850	7386	HMDB0004226
aqcobal	C00992		15852	HMDB0003458
arab_L	C00259	439195	17535	HMDB0000646
arachcoa	C02041	16061151	15527	HMDB0004258
arachcrn		53477833		
arachdcoa	C02249	16061152		HMDB0006523
arach	C06425	10467	28822	HMDB0002212
arg_L	C00062	6322	16467	HMDB0000517
argsuc	C03406	16950	15682	HMDB0000052
citr_L	C00327	9750	16349	HMDB0000904
sgalside_hs				
galside_hs	C02686	53480652		HMDB0010708
so4	C00059	1117	16189	HMDB0001448
Rtotalcoa				
Rtotal3coa				
Rtotal3				
R1coa_hs				
hdcoa		53477852		HMDB0006532
lnlncacoa	C16162  	53477815		HMDB0006290
R2coa_hs				
lnlncgcoa	C03035	11966132	15508	HMDB0006368
strdnccoa	C16163	52922033		HMDB0006519
dlnlcgcoa		16061156		HMDB0003947
tmndnccoa	C16165	56927904	63539	HMDB0060311
lnlccoa	C02050	5462164	15530	HMDB0001064
clpndcoa		53477812		HMDB0006267
dcsptn1coa	C16173	53477845		HMDB0006513
c226coa	C16169		65132	
stcoa	C00412	439229	15541	HMDB0001114
R3coa_hs				
odecoa	C00510	5280355	15534	HMDB0001322
lneldccoa				
R4coa_hs				
nrvnccoa	C16532	24892792		HMDB0060237
od2coa	C16218	53477850		HMDB0006529
R5coa_hs				
hexccoa		25246198		
eicostetcoa	C16164	23724641		HMDB0060184
tetpent6coa	C16172	23724649		HMDB0060225
tetpent3coa	C16167	23724644	63543	
tettet6coa	C16171	53477846		HMDB0006516
tethex3coa	C16168	53477806		HMDB0006243
R6coa_hs				
crm_hs				
sphings	C00319	5353955	16393	HMDB0000252
ascb_L	C00072	54670067	17208	HMDB0000044
o2s	C00704	5359597	18421	HMDB0002168
dhdascb	C00425	210328	17242	HMDB0001264
Asn_X_Ser_Thr	C03021			
cbp	C00169	278	17672	HMDB0001096
cbasp	C00438	93072	15859	HMDB0000828
asp_D	C00402	83887	17364	HMDB000648
k	C00238		26216	HMDB0000586
Nacasp	C01042	65065	21547	HMDB0000812
avite1	C02477	14985	18145	HMDB0001893
avite2	C14153	5282347	33270	HMDB0006327
gbside_hs	C03272	20057343		HMDB0004958
ga2_hs	C06135	22833614		HMDB0004888
ga1_hs	C06136 	22833624		HMDB0004900
gm2_hs	C04884	20057332		HMDB0004936
gm1_hs	C04911		18216	HMDB00117
gd2_hs	C06134		28648	
gd1b_hs	C06141		28175	
gt2_hs	G00119			
gt1c_hs	G00120			
galgbside_hs	G00097			
acglcgalgluside_hs	C04845		17103	
galacglcgalgluside_hs	C04910		17292	
gal14acglcgalgluside_hs				
acglcgal14acglcgalgluside_hs	C04938		16297	
galacglcgal14acglcgalgluside_hs	G00067			
acglc13galacglcgal14acglcgalgluside_hs	G00068			
galacgalfuc12gal14acglcgalgluside_hs				
galacgalfucgalacglcgal14acglcgalgluside_hs				
acglcgalacglcgal14acglcgalgluside_hs	G00077			
galacglcgalacglcgal14acglcgalgluside_hs				
galacglc13galacglcgal14acglcgalgluside_hs	G00069			
galthcrm_hs				
galgalthcrm_hs				
galgalgalthcrm_hs				
acglcgalgbside_hs				
galacglcgalgbside_hs				
gm2a_hs				
gm1a_hs				
gluside_hs				
cholcoa	C01794	439573	15519	HMDB0001374
gchola	C01921	23617285	29746	HMDB0000138
taur	C00245	1123	15891	HMDB0000251
tchola	C05122	440567	28865	HMDB0000036
dgcholcoa		440685		
dgchol	C05466	22833540		HMDB0000637
dcholcoa	C05337	11966205	28701	HMDB0006292
btn	C00120	171548	15956	HMDB0000030
btamp	C05921	440839		HMDB0004220
4tmeabutn	C01181	134	1941	HMDB0001161
succ	C00042	1110	15741	HMDB0000254
caro	C02094	5280489	17579	HMDB0000561
retinal	C00376	638015	17898	HMDB0001358
bdg2hc	C05839	5316113	62251	HMDB0060077
2coum	C05838	5280841	28873	HMDB0041592
bhb	C01089	92135	17066	HMDB0000011
chito2pdol_L	C04537	22833564		HMDB0001196
gdpmann	C00096	18396	15820	HMDB0001163
mpdol_L	C05860	45259170	18396	HMDB0011673
chito2pdol_U				
mpdol_U				
betald	C00576	249	15710	HMDB0001252
glyb	C00719	247	17750	HMDB0000043
dmgly	C01026	673	17724	HMDB0000092
met_L	C00073	6137	16643	HMDB0000696
bildglcur	C05787	5459911	18392	HMDB0003325
bilglcur	C03374		16427	
biliverd	C00500	5353439	17033	HMDB0001008
bilirub	C00486	5280352	16990	HMDB0000054
dolmanp_L	C03862	3246168	1220424	HMDB0000994
memgacpail_hs				
dolp_L	C00110	5280322		HMDB0006353
m2emgacpail_hs				
dolmanp_U				
dolp_U				
3uib	C05100	160663	1670	HMDB0002031
3aib_D	C01205	5459822	16320	HMDB0002299
but	C00246	264	30772	HMDB0000039
bvite	C14152	6857447	47771	HMDB0006335
bz	C00180	243	30746	HMDB0001870
44mctr	C11455	443212	17813	HMDB0001023
44mzym	C05108	50990081	18364	HMDB0001286
pmtcrn	C02990	11953816	17490	HMDB0000222
hdcecrn		11953816		
hdd2crn		53477817		
stcrn		6426855		
odecrn		46907933	84651	HMDB0005065
arachdcrn				
c226crn				
c2m26dcoa	C11946	53477855		HMDB0006540
3h26dm5coa	C11947	9543313		HMDB0004601
4mzym_int1	C15808	23724596		HMDB0001181
4mzym_int2	C15816	53477900	505093	HMDB0006838
zym_int2		22298942		
zymst	C05437	92746	18252	HMDB0006271
ca2	C00076	271	29108	HMDB0000464
carveol	C00964	94221	15389	HMDB0003450
cbl2	C00541	0	16304	HMDB0006316
cbl1	C00853	53477772	15982	HMDB0003429
adocbl	C00194		18408	HMDB0002086
pppi	C00536	3440921	18036	HMDB0003379
g6p	C00092	5958	4170	HMDB0001401
prostg1	C04654	5280710	15548	HMDB0001320
prostge1	C04741	5280723	15544	HMDB0001442
prostge2	C00584	5280360	15551	HMDB0001220
prostgf2	C00639	5283078	15553	HMDB0001139
cca_d3	C18230			
cdpdag_hs				
inost	C00137		17268	HMDB0000211
pail_hs				
ctp	C00063	6176	17677	HMDB0000082
dag_hs				
pchol_hs				
pe_hs			16038	
crmp_hs				
chsterol	C00187	11025495	1307929	HMDB0000067
xol25oh		65094		
cholp	C00588	1014	18132	HMDB0001565
cholate	C00695	221493	16359	HMDB0000619
chsterols	C18043	65076	41321	HMDB0000653
chtn				
itaccoa	C00531	439254	15528	HMDB0003377
citmcoa_L	C01011	53477827		HMDB0006345
creat	C00300	586	16919	HMDB0000064
pcreat	C02305	587	17287	HMDB0001511
cl		24526	29311	HMDB0000492
for	C00058	284	30751	HMDB0000142
i	C00708	30165	16382	HMDB0012238
oxa	C00209	971	16995	HMDB0002329
clpndcrn				
clpnd	C16513	5497182	53488	HMDB0006528
pglyc_hs				
clpn_hs				
cmpacna	C00128	448209	16556	HMDB0001176
coke	C01416	446220	27958	HMDB0015043
egme	C12448	443844	708640	HMDB0006406
2dpmhobq				
q10	C00399	4462	16389	HMDB0002012
2dp6mobq			50773	HMDB0060248
2dp6mobq_me			50772	HMDB0060251
2dp6mep			50774	HMDB0060250
Tn_antigen	G00023			
core3	C01306		16250	
core4	C04917		16478	
core5				
core6				
core7				
core8				
co	C00237	281	17245	HMDB0001361
T4hcinnm	C00811	637542	32374	HMDB0002035
coumarin	C05851	323	28794	HMDB0001218
ntm2amep	C06459	151927	7347	
cmpntm2amep	C05674	440755	3281	HMDB0060072
cpppg3	C03263	321	15439	HMDB0001261
pppg9	C01079	121893	15435	HMDB0001097
pcrn	C03017	107738	28867	HMDB0000824
dmnoncrn				
crtn	C00791	588	16737	HMDB0000562
crtsl	C00735	657311		HMDB0000063
crtstrn	C02140	5753	16827	HMDB0001547
crvnc	C06429	445580	28125	HMDB0002183
cspg_a				
Ser_Gly_Ala_X_Gly	C02189			
cs_a				
cspg_b				
cs_b				
cspg_c				
cs_c				
cspg_d				
cs_d				
cspg_e				
cs_e				
dmnoncoa				
csn	C00380	597	16040	HMDB0000630
ura	C00106	1174	17568	HMDB0000300
utp	C00075	6133	15713	HMDB0000285
cyan		0	18407	HMDB0060292
focytC	C00126		16928	
ficytC	C00125		15991	
q10h2	C00390	5280344		HMDB0001304
Lcystin	C00491	67678	16283	HMDB0000192
gthrd	C00051	124886	16856	HMDB0000125
gthox	C00127	975	17858	HMDB0003337
thcys	C01962	439614	28839	HMDB0003585
mercppyr	C00957	98	16208	HMDB0001368
cyst_L	C02291	439258	17482	HMDB0000099
cytd	C00475	6175	17562	HMDB0000089
uri	C00299	6029	16704	HMDB0000296
cdp	C00112	6132	17239	HMDB0001546
dgtp	C00286	65103	16497	HMDB0001440
dgdp	C00361	439220	28862	HMDB0000960
dcmp	C00239	13945	15918	HMDB0001202
dcdp	C00705	150855	28846	HMDB0001245
dctp	C00458	65091	16311	HMDB0000998
dad_2	C00559	13730	17256	HMDB0000101
din	C05512	65058	28997	HMDB0000071
arg_D	C00792	71070	15816	HMDB0003416
5g2oxpt	C03771	558	58489	HMDB0004225
23doguln	C04575  	53477844	15622	HMDB0006511
dd2coa	C03221	45266564	57330	HMDB0003712
dd3coa	C02944	16061154		HMDB0004257
dcyt	C00881	13711	15698	HMDB0000014
dump	C00365	65063	17622	HMDB0001409
dcsptn1crn				
dcsptn1		159656	65136	HMDB13123
L_dpchrm	C01693	439549	15772	HMDB0001430
56dihindlcrbxlt	C04185	119405	2003	HMDB0001253
duri	C00526	13712	16450	HMDB0000012
4h2oglt	C01127	599	30923	HMDB0002070
debrisoquine	C13650	2966	34665	HMDB0006543
decdp				
dedoldp_L	C05859			
dedolp_L				
dedoldp_U				
dedolp_U				
dedol_L				
dedol_U				
dolichol_L	C00381	6433320	16091	HMDB0005176
dolichol_U				
tag_hs				
dgmp	C00362	65059	16192	HMDB0001044
dgsn	C00330	187790	17172	HMDB0000085
3dhguln	C00618	439273	16142	HMDB0006334
dhcholestanate		53477686		HMDB0000359
zymstnl	C03845	101770	16608	HMDB0006841
chlstol	C05439	440670	16290	HMDB0006842
lthstrl	C01189	65728	17168	HMDB0001170
dsmsterol	C01802	439577	17737	HMDB0002719
ddsmsterol	C05107	440558	27910	HMDB0003896
dhcrm_hs				
3dpdhb_me		54738023	62796	HMDB0062355
dheas	C04555	12594	16814	HMDB0001032
dhea	C01227	9860744	220467	HMDB0000077
dhf	C00415	98792	15633	HMDB0001056
dhor_S	C00337	648	30865	HMDB0000528
orot	C00295	967	16742	HMDB0000226
56dura	C00429	649	15901	HMDB0000076
cala	C02642	111	18261	HMDB0000026
56dthm	C00906	93556	27468	HMDB0000079
dhbpt	C00268	133246		HMDB0002215
thbpt	C00272	1125	15372	HMDB0000027
mlthf	C00143	439175	15636	HMDB0001533
didp	C01344	439488	28823	HMDB0003536
digalsgalside_hs	C06127			
digalside_hs	C06126	20057273		HMDB0004832
ditp	C01345	146302	28807	HMDB0003537
dkmpp	C15650	561	50604	HMDB0059620
2kmb	C01180	473	33574	HMDB0001553
lac_D	C00256	61503	341	HMDB0001311
dlnlcgcrn	C06426	5280933	28661	HMDB0003073
dlnlcg	C03242	5280581	53486	HMDB0002925
13_cis_oretn				
13_cis_retn	D00348	5282379	6067	HMDB0006219
dem2emgacpail_prot_hs				
dgpi_prot_hs				
dsT_antigen	G00027			
dttp	C00459	64968	18077	HMDB0001342
